flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,BCN,507,Tirana,Barcelona,Albania,Spain,1471.65,66300,2023-02-28 15:45:00,Cultural
TIA,BCN,509,Tirana,Barcelona,Albania,Spain,1471.65,17100,2023-02-28 16:00:00,Cultural
TIA,BCN,510,Tirana,Barcelona,Albania,Spain,1471.65,60000,2023-02-28 19:00:00,Cultural
TIA,BCN,511,Tirana,Barcelona,Albania,Spain,1471.65,62100,2023-02-28 16:00:00,Cultural
TIA,BCN,514,Tirana,Barcelona,Albania,Spain,1471.65,68400,2023-02-28 14:50:00,Cultural
TIA,BCN,517,Tirana,Barcelona,Albania,Spain,1471.65,18300,2023-02-28 14:50:00,Cultural
TIA,BCN,524,Tirana,Barcelona,Albania,Spain,1471.65,16200,2023-02-28 15:45:00,Cultural
TIA,BCN,725,Tirana,Barcelona,Albania,Spain,1471.65,50700,2023-02-28 20:00:00,Cultural
TIA,BCN,971,Tirana,Barcelona,Albania,Spain,1471.65,55200,2023-02-28 19:00:00,Cultural
TIA,BCN,1018,Tirana,Barcelona,Albania,Spain,1471.65,63600,2023-02-28 17:45:00,Cultural
TIA,BCN,1085,Tirana,Barcelona,Albania,Spain,1471.65,60000,2023-02-28 19:00:00,Cultural
TIA,BJZ,269,Tirana,Badajoz,Albania,Spain,2266.68,146700,2023-02-28 17:15:00,Nature
TIA,BJZ,337,Tirana,Badajoz,Albania,Spain,2266.68,140400,2023-02-28 19:00:00,Nature
TIA,BJZ,339,Tirana,Badajoz,Albania,Spain,2266.68,114600,2023-02-28 12:20:00,Nature
TIA,BJZ,345,Tirana,Badajoz,Albania,Spain,2266.68,170100,2023-02-28 20:55:00,Nature
TIA,BJZ,346,Tirana,Badajoz,Albania,Spain,2266.68,81000,2023-02-28 11:30:00,Nature
TIA,BJZ,349,Tirana,Badajoz,Albania,Spain,2266.68,133500,2023-02-28 20:55:00,Nature
TIA,BJZ,376,Tirana,Badajoz,Albania,Spain,2266.68,64800,2023-02-28 16:00:00,Nature
TIA,BJZ,392,Tirana,Badajoz,Albania,Spain,2266.68,64800,2023-02-28 16:00:00,Nature
TIA,BJZ,402,Tirana,Badajoz,Albania,Spain,2266.68,96900,2023-02-28 17:15:00,Nature
TIA,BJZ,407,Tirana,Badajoz,Albania,Spain,2266.68,133500,2023-02-28 20:55:00,Nature
TIA,BJZ,429,Tirana,Badajoz,Albania,Spain,2266.68,83700,2023-02-28 20:55:00,Nature
